,id,prcp_avg,tmax_avg,tmin_avg
1,madison,34.77218728,176.5924214,56.02687674
2,darien,29.03541533,181.2745592,66.20185029
3,statesboro,25.02788462,189.6747159,51.38778409
4,newton,32.18314231,203.0021739,52.81956522
5,athens,53.97739362,135.0729167,3.631168831
6,bowman,38.74577668,143.067712,23.73190547
7,athens,60.79633401,159.2488152,28.67061611
8,gray,37.88704028,175.8939024,42.80853659
9,dalton,23.15664557,177.6973545,36.65217391
10,darien,43.03642987,266.6871552,168.1408228
11,darien,29.03541533,181.2745592,66.20185029
12,milledgeville,34.24555735,172.5145631,63.41423948
13,athens,24.9253012,161.2865762,34.36308623
14,cochran,34.94305019,204.3013972,71.238
15,macon,34.1393643,304.0979112,182.1885566
16,cochran,54.63671024,163.6806723,40.58193277
17,cochran,54.63671024,163.6806723,40.58193277
18,quitman,34.91625125,180.0535077,47.25415677
19,quitman,34.91625125,180.0535077,47.25415677
20,quitman,34.91625125,180.0535077,47.25415677
21,statesboro,25.02788462,189.6747159,51.38778409
22,colquit,31.13493976,211.2430279,66.87250996
23,athens,40.33994334,154.8366013,29.93201754
24,rome,60.91612903,142.2645161,21.60645161
25,rome,20.75451807,182.3924051,56.96202532